#Y/North, X/East
9136964.074 852124.112
9113488.433 809520.172
9100011.677 786261.899
9091834.140 761730.867
9069511.004 747665.365
9039645.896 728067.248
9009804.355 708227.131
9002605.457 698405.638
8998424.145 693277.102
8988866.527 684311.824
8974714.672 683974.875
8970222.020 674371.831
8966208.056 664630.969
8966208.056 621004.352
8934595.360 564330.151
